Rank,Video Uploads,Subscribers,Video views
241,70,2119502,746637831
242,6422,6436457,4744558944
243,4214,15359835,11881872033
244,392,3967499,1036658065
245,256,3289111,3555452040
246,93,10579862,6599433518
247,9,3531337,1748814742
248,1252,9473119,1293790665
249,33626,3083128,3084104476
250,1893,9515204,4889864688
251,111520,2165801,2298969489
252,63,1673608,2633311383
253,583,4035116,2000802080
254,604,-- ,718345351
255,1713,6880324,5414528635
256,114,-- ,82824448
257,215,16120428,10323118073
258,26,8453220,4298092532
259,19,3906670,1310514561
260,255,1726047,1035058136
261,1716,11037799,7248944248
262,692,8674860,5793558805
263,1764,4104585,1527175809
264,3692,2258716,919189826
265,142427,4686757,3574418617
266,139,9198180,6898631721
267,1795,4525326,4129499307
268,--,-- ,190256974
269,859,23590547,9880562011
270,8758,22981517,13426887749
271,1165,11524140,4631090552
272,680,16355206,17470709876
273,177,407066,87279803
274,1498,5936545,4000941387
275,908,6646318,1262160532
276,6,192230,70748180
277,98,956357,413449527
278,1147,11041504,9921804596
279,533,3850735,1477710857
280,2999,7470765,1774695359
281,248,4554690,2087077770
282,526,2726479,1532978759
283,103,12841749,9509573498
284,3332,5241934,3537059454
285,18006,4504323,3345586246
286,44,2196327,862348058
287,708,2258303,1471393006
288,2512,3727952,3769698238
289,12959,8046493,4436534481
290,145,4000495,2577351909
291,107,2358324,1810656447
292,6494,-- ,885923365
293,353,11312621,1726592121
294,2805,1050905,1630495982
295,131,2346267,2374791524
296,1649,1446017,615545631
297,2529,1221977,699287518
298,1164,19631845,4491304033
299,562,18487595,3981804622
300,189,4013370,3897267590
301,3513,4577095,3540450188
302,92,8529288,5616336614
303,58514,4030820,5187454046
304,676,7990777,896576201
305,86,28133287,15476966737
306,1467,28889480,7825801479
307,38,9987454,4908039128
308,845,2599157,567724680
309,694,16902261,4939708131
310,797,9509594,4761221692
311,4146,7985983,4340439049
312,3426,2306908,1228011095
313,1459,2287705,1099701030
314,90,15164001,10120591416
315,8,3891968,2420286079
316,1454,3424646,1415089435
317,289,2651748,750583917
318,116,1638966,518466711
319,2646,3932772,2203762925
320,202,12635238,7881678521
321,2898,3840010,1222587049
322,218,817938,214359214
323,854,-- ,1072407139
324,269065,2599175,2786949164
325,395,976130,651702290
326,198,709587,166534634
327,10,-- ,350
328,1930,11657566,2537293803
329,390,4149328,1410581249
330,52,2822933,514414041
331,692,3938021,1942176648
332,922,4512958,1946973161
333,4196,21770508,10053970560
334,115,636609,102185590
335,6,547,2127264
336,819,5961268,1709469538
337,557,1992474,1230314566
338,31,2648105,510380802
339,11,92158,63748543
340,148,912967,448991721
341,5179,3865413,2906524921
342,4710,23775389,9365416666
343,19,480785,95827909
344,431,5005927,1273050905
345,524,18178014,4912160820
346,216,13779702,2201959243
347,205,-- ,78360362
348,1355,1625205,977945315
349,1659,8427099,3675163152
350,292,1719279,544187059
351,209,1121491,147266521
352,2356,3181532,1947872233
353,304,2510058,543214595
354,129,13859359,11245381351
355,4534,1263614,359983508
356,3883,20279518,10029328079
357,93500,3992315,2493477931
358,66,-- ,205282926
359,599,15494356,1605548778
360,2133,5303195,4163257751
361,714,11055805,6910079660
362,90,10432036,2856357178
363,2914,14847336,3890903315
364,2856,4493420,2664911984
365,7783,4762083,2868206239
366,6515,19251064,6724579643
367,230,1985005,671623629
368,441,16079571,7977828657
369,328,2009235,636233141
370,80773,4545223,3420909679
371,8749,2220541,2254176139
372,253,3017957,730924615
373,168,4290854,2352013080
374,66,22429704,9585784755
375,1051,8372200,7657631499
376,413,1125064,549165956
377,12492,3058938,1932816826
378,559,4172856,2133463422
379,876,11384073,1716165250
